ItemID;ItemTextName;ItemTextName2;ItemTextName3
21810;ADIDAS Damen Hooded Kapuzenjacke Sweatjacke Jacke grau;ADIDAS Damen Hooded Kapuzenjacke Sweatjacke Jacke grau;ADIDAS Damen Hooded Kapuzenjacke Sweatjacke Jacke grau
189666;Russische MARINESHIRT Streifen Sailor Marinehemd Matrosenhemd T-Shirt Marine ;Russische MARINESHIRT Streifen Sailor Marinehemd Matrosenhemd T-Shirt Marine ;Russische MARINESHIRT Streifen Sailor Marinehemd Matrosenhemd T-Shirt Marine 
189673;MFH Russisches Marine T-Shirt langarm Longsleeve blau-weiss;MFH Russisches Marine T-Shirt langarm Longsleeve blau-weiss;MFH Russisches Marine T-Shirt langarm Longsleeve blau-weiss
189679;Russisches Marine Tank rundhals blau-weiss;Russisches Marine Tank rundhals blau-weiss;Russisches Marine Tank rundhals blau-weiss
189698;Pure Trash 81 Polo-Shirt blau S M L XL XXL;Pure Trash 81 Polo-Shirt blau S M L XL XXL;Pure Trash 81 Polo-Shirt blau S M L XL XXL
189770;Pure Trash Zipper Sweatjacke Jacke schwarz;Pure Trash Zipper Sweatjacke Jacke schwarz;Pure Trash Zipper Sweatjacke Jacke schwarz
189776;Russische Marine WINTER T-Shirt Longsleeve blau-weiß;Russische Marine WINTER T-Shirt Longsleeve blau-weiß;Russische Marine WINTER T-Shirt Longsleeve blau-weiß
189782;MFH Pilotenhemd, blaugrau, , kurzarm;MFH Pilotenhemd, blaugrau, , kurzarm;MFH Pilotenhemd, blaugrau, , kurzarm
189810;MFH Poncho Vinyl oliv 8203 ;MFH Poncho Vinyl oliv 8203 ;MFH Poncho Vinyl oliv 8203 
189811;Netzmantel mit Schlaufen zur Tarnung oliv ;Netzmantel mit Schlaufen zur Tarnung oliv ;Netzmantel mit Schlaufen zur Tarnung oliv 
189812;Pelz Hut, Trapper, 10010 ;Pelz Hut, Trapper, 10010 ;Pelz Hut, Trapper, 10010 
189817;MFH Fellmütze schwarz mit grauem Kaninchenfell 10020 ;MFH Fellmütze schwarz mit grauem Kaninchenfell 10020 ;MFH Fellmütze schwarz mit grauem Kaninchenfell 10020 
189822;FOX Leder-Fellmütze Hasenfell Wintermütze Pelzmütze ;FOX Leder-Fellmütze Hasenfell Wintermütze Pelzmütze ;FOX Leder-Fellmütze Hasenfell Wintermütze Pelzmütze 
189829;"Baseball Cap ""Deutschland"" schwarz/rot/gold mit Klettverschluss";"Baseball Cap ""Deutschland"" schwarz/rot/gold mit Klettverschluss";"Baseball Cap ""Deutschland"" schwarz/rot/gold mit Klettverschluss"
189830;Moskito Kopfnetz, Stoffeinsatz, oliv/woodland, Gummizug;Moskito Kopfnetz, Stoffeinsatz, oliv/woodland, Gummizug;Moskito Kopfnetz, Stoffeinsatz, oliv/woodland, Gummizug
189831;Moskito Kopfnetz, Stoffeinsatz, oliv, Metallring;Moskito Kopfnetz, Stoffeinsatz, oliv, Metallring;Moskito Kopfnetz, Stoffeinsatz, oliv, Metallring
189832;US Army Helmgummi, oliv, mit Leuchtpunkten;US Army Helmgummi, oliv, mit Leuchtpunkten;US Army Helmgummi, oliv, mit Leuchtpunkten
189833;Strohhut, mit Hutband, braun;Strohhut, mit Hutband, braun;Strohhut, mit Hutband, braun
189834;Strohhut, mit Kinnband, hellbraun;Strohhut, mit Kinnband, hellbraun;Strohhut, mit Kinnband, hellbraun
189835;White Mountain Panamahut Strohhut weiß;White Mountain Panamahut Strohhut weiß;White Mountain Panamahut Strohhut weiß
189836;Cooler Playershut Sommer Hut schwarz mit rotem Band;Cooler Playershut Sommer Hut schwarz mit rotem Band;Cooler Playershut Sommer Hut schwarz mit rotem Band
189837;Cooler Playershut Sommer Hut lässigem Band schwarz;Cooler Playershut Sommer Hut lässigem Band schwarz;Cooler Playershut Sommer Hut lässigem Band schwarz
189838;Bundeswehr BW Unterhemd, halbarm, oliv, Größen 4 5 6 7 8 Herren;Bundeswehr BW Unterhemd, halbarm, oliv, Größen 4 5 6 7 8 Herren;Bundeswehr BW Unterhemd, halbarm, oliv, Größen 4 5 6 7 8 Herren
189844;Bundeswehr BW Unterhemd, halbarm, oliv, Größen 9 10 Herren Unterwäsche;Bundeswehr BW Unterhemd, halbarm, oliv, Größen 9 10 Herren Unterwäsche;Bundeswehr BW Unterhemd, halbarm, oliv, Größen 9 10 Herren Unterwäsche
189847;Bundeswehr BW lange Unterhose in oliv;Bundeswehr BW lange Unterhose in oliv;Bundeswehr BW lange Unterhose in oliv
189853;Bundeswehr BW Plüschunterhose - oliv;Bundeswehr BW Plüschunterhose - oliv;Bundeswehr BW Plüschunterhose - oliv
189856;Bundeswehr BW Plüschunterhose - oliv;Bundeswehr BW Plüschunterhose - oliv;Bundeswehr BW Plüschunterhose - oliv
189864;Bundeswehr BW Plüschunterhemd - oliv;Bundeswehr BW Plüschunterhemd - oliv;Bundeswehr BW Plüschunterhemd - oliv
189872;Bundeswehr BW Stiefelsocken Socken oliv;Bundeswehr BW Stiefelsocken Socken oliv;Bundeswehr BW Stiefelsocken Socken oliv
189876;Bundeswehr BW Socken, Keilferse, grau, kurze Form;Bundeswehr BW Socken, Keilferse, grau, kurze Form;Bundeswehr BW Socken, Keilferse, grau, kurze Form
189883;"Trekking Socken Modell ""Lusen"" oliv mit gepolsterter Ferse und Sohle";"Trekking Socken Modell ""Lusen"" oliv mit gepolsterter Ferse und Sohle";"Trekking Socken Modell ""Lusen"" oliv mit gepolsterter Ferse und Sohle"
189887;MFH Socken Trekkingsocken Arber Gepolsterte Sohle, oliv;MFH Socken Trekkingsocken Arber Gepolsterte Sohle, oliv;MFH Socken Trekkingsocken Arber Gepolsterte Sohle, oliv
189891;Polar Wintersocken oliv-weiß ;Polar Wintersocken oliv-weiß ;Polar Wintersocken oliv-weiß 
189895;Lederhandschuhe, ohne Finger, mit Nieten, schwarz;Lederhandschuhe, ohne Finger, mit Nieten, schwarz;Lederhandschuhe, ohne Finger, mit Nieten, schwarz
189901;Leder Trainingshandschuhe ohne Finger schwarz;Leder Trainingshandschuhe ohne Finger schwarz;Leder Trainingshandschuhe ohne Finger schwarz
189907;Lederhandschuhe, schwarz, mit schnitthemmend.KEVLAR(R)-Einl.;Lederhandschuhe, schwarz, mit schnitthemmend.KEVLAR(R)-Einl.;Lederhandschuhe, schwarz, mit schnitthemmend.KEVLAR(R)-Einl.
189914;Lederhandschuhe, schwarz, mit Quarzsandfüllung ;Lederhandschuhe, schwarz, mit Quarzsandfüllung ;Lederhandschuhe, schwarz, mit Quarzsandfüllung 
189920;Leder Einsatzhandschuhe schwarz mit Verstärkung;Leder Einsatzhandschuhe schwarz mit Verstärkung;Leder Einsatzhandschuhe schwarz mit Verstärkung
189932;Microfasertuch im Netzbeutel mit Karabiner für Trekking Outdoor;Microfasertuch im Netzbeutel mit Karabiner für Trekking Outdoor;Microfasertuch im Netzbeutel mit Karabiner für Trekking Outdoor
189933;Magisches Tuch, weiß, Microfaser, 5 Stk. im Beutel;Magisches Tuch, weiß, Microfaser, 5 Stk. im Beutel;Magisches Tuch, weiß, Microfaser, 5 Stk. im Beutel
189934;Bundeswehr BW Taschentuch, Gr. 50x50 cm, 3-er Pack;Bundeswehr BW Taschentuch, Gr. 50x50 cm, 3-er Pack;Bundeswehr BW Taschentuch, Gr. 50x50 cm, 3-er Pack
189935;Bundeswehr BW Springerstiefel Stiefel;Bundeswehr BW Springerstiefel Stiefel;Bundeswehr BW Springerstiefel Stiefel
189950;Bundeswehr BW KAMPFSTIEFEL MODELL 2000 STIEFEL;Bundeswehr BW KAMPFSTIEFEL MODELL 2000 STIEFEL;Bundeswehr BW KAMPFSTIEFEL MODELL 2000 STIEFEL
189963;Bundeswehr BW Bergstiefel ;Bundeswehr BW Bergstiefel ;Bundeswehr BW Bergstiefel 
189977;MFH Bundeswehr BW Bergschuh, Modell 2005, Breathtex-Fütterung ;MFH Bundeswehr BW Bergschuh, Modell 2005, Breathtex-Fütterung ;MFH Bundeswehr BW Bergschuh, Modell 2005, Breathtex-Fütterung 
189991;FOX Gummistiefel Filz Stiefel Jagd Ansitzstiefel schwarz 39-46;FOX Gummistiefel Filz Stiefel Jagd Ansitzstiefel schwarz 39-46;FOX Gummistiefel Filz Stiefel Jagd Ansitzstiefel schwarz 39-46
190001;Halbschuhe UK 3-Loch mit Stahlkappe ;Halbschuhe UK 3-Loch mit Stahlkappe ;Halbschuhe UK 3-Loch mit Stahlkappe 
190013;Springerstiefel UK 10-Loch  Stiefel mit Stahlkappe;Springerstiefel UK 10-Loch  Stiefel mit Stahlkappe;Springerstiefel UK 10-Loch  Stiefel mit Stahlkappe
190025;Springerstiefel UK 14-Loch Stiefel mit Stahlkappe;Springerstiefel UK 14-Loch Stiefel mit Stahlkappe;Springerstiefel UK 14-Loch Stiefel mit Stahlkappe
190037;Bundeswehr BW Schnürsenkel, schwarz, für Kampfstiefel, Länge 160 cm;Bundeswehr BW Schnürsenkel, schwarz, für Kampfstiefel, Länge 160 cm;Bundeswehr BW Schnürsenkel, schwarz, für Kampfstiefel, Länge 160 cm
190038;Schnürsenkel Schuhband Schnürband für Kampfstiefel schwarz, Länge 180 cm;Schnürsenkel Schuhband Schnürband für Kampfstiefel schwarz, Länge 180 cm;Schnürsenkel Schuhband Schnürband für Kampfstiefel schwarz, Länge 180 cm
190039;Schnürsenkel Schuhband Schnürband, schwarz, Länge 110 cm;Schnürsenkel Schuhband Schnürband, schwarz, Länge 110 cm;Schnürsenkel Schuhband Schnürband, schwarz, Länge 110 cm
190040;Stiefel Schnellverschluss;Stiefel Schnellverschluss;Stiefel Schnellverschluss
190041;Bundeswehr BW Nässeschutzgamaschen, flecktarn, atmungsaktiv;Bundeswehr BW Nässeschutzgamaschen, flecktarn, atmungsaktiv;Bundeswehr BW Nässeschutzgamaschen, flecktarn, atmungsaktiv
190042;Bundeswehr BW Gamasche, oliv, mit Membran, wasserdicht;Bundeswehr BW Gamasche, oliv, mit Membran, wasserdicht;Bundeswehr BW Gamasche, oliv, mit Membran, wasserdicht
190043;Bundeswehr BW Gamasche, woodland, mit Membran, wasserdicht;Bundeswehr BW Gamasche, woodland, mit Membran, wasserdicht;Bundeswehr BW Gamasche, woodland, mit Membran, wasserdicht
190099;Trio Leuchtstab, 3 Funktionen, m. Pfeife, div. Farben;Trio Leuchtstab, 3 Funktionen, m. Pfeife, div. Farben;Trio Leuchtstab, 3 Funktionen, m. Pfeife, div. Farben
190100;LED-Taschenlampe 3 Watt Alu-Gehäuse wiederaufladbar ;LED-Taschenlampe 3 Watt Alu-Gehäuse wiederaufladbar ;LED-Taschenlampe 3 Watt Alu-Gehäuse wiederaufladbar 
190101;LED Leuchte Pocket, 1 Watt, silbernes Aluminiumgehäuse ;LED Leuchte Pocket, 1 Watt, silbernes Aluminiumgehäuse ;LED Leuchte Pocket, 1 Watt, silbernes Aluminiumgehäuse 
190102;LED Leuchte im wasserdichten ALU-Gehäuse, 3 LED super hell ;LED Leuchte im wasserdichten ALU-Gehäuse, 3 LED super hell ;LED Leuchte im wasserdichten ALU-Gehäuse, 3 LED super hell 
190103;US Army Blocktaschenlampe, oliv, ;US Army Blocktaschenlampe, oliv, ;US Army Blocktaschenlampe, oliv, 
190104;Stativ-Taschenlampe, schwarz, 3 LED ;Stativ-Taschenlampe, schwarz, 3 LED ;Stativ-Taschenlampe, schwarz, 3 LED 
190105;Handstrahler, wiederaufladbar, gelb, drehbarer Griff, 1 MCP ;Handstrahler, wiederaufladbar, gelb, drehbarer Griff, 1 MCP ;Handstrahler, wiederaufladbar, gelb, drehbarer Griff, 1 MCP 
190106;FOX 26405 Stirnlampe 7 LED 3x LED rot 4 LED weiß;FOX 26405 Stirnlampe 7 LED 3x LED rot 4 LED weiß;FOX 26405 Stirnlampe 7 LED 3x LED rot 4 LED weiß
190107;Stirnlampe mit 2.4V/0.25 Crypton Birne wasserdicht schwarz ;Stirnlampe mit 2.4V/0.25 Crypton Birne wasserdicht schwarz ;Stirnlampe mit 2.4V/0.25 Crypton Birne wasserdicht schwarz 
190108;FOX Outdoor Stirnlampe, 8 LED, schwarz, wasserdicht und 90Grad schwenkbar ;FOX Outdoor Stirnlampe, 8 LED, schwarz, wasserdicht und 90Grad schwenkbar ;FOX Outdoor Stirnlampe, 8 LED, schwarz, wasserdicht und 90Grad schwenkbar 
190109;Stirnlampe 3 LED + 1 Crypton wasserdicht schwarz ;Stirnlampe 3 LED + 1 Crypton wasserdicht schwarz ;Stirnlampe 3 LED + 1 Crypton wasserdicht schwarz 
190110;Stirnlampe 4 LED schmal und leicht wasserdicht schwarz ;Stirnlampe 4 LED schmal und leicht wasserdicht schwarz ;Stirnlampe 4 LED schmal und leicht wasserdicht schwarz 
190111;Stirnlampe 3LED + 1 Birne 0,25 W wasserdicht schwarz ;Stirnlampe 3LED + 1 Birne 0,25 W wasserdicht schwarz ;Stirnlampe 3LED + 1 Birne 0,25 W wasserdicht schwarz 
190112;Stirnlampe 1 Watt Luxeon 1W LED mit ABS Gehäuse ;Stirnlampe 1 Watt Luxeon 1W LED mit ABS Gehäuse ;Stirnlampe 1 Watt Luxeon 1W LED mit ABS Gehäuse 
190113;Stirnlampe, 1 Watt Luxeon, 1 LED weiß, 2 LED rot ;Stirnlampe, 1 Watt Luxeon, 1 LED weiß, 2 LED rot ;Stirnlampe, 1 Watt Luxeon, 1 LED weiß, 2 LED rot 
190114;Cap Kappe-Light mit 5 LED incl. 2 Ersatz Knopfzellen ;Cap Kappe-Light mit 5 LED incl. 2 Ersatz Knopfzellen ;Cap Kappe-Light mit 5 LED incl. 2 Ersatz Knopfzellen 
190115;Camping-Laterne 17 LED wasserdicht silber-schwarz ;Camping-Laterne 17 LED wasserdicht silber-schwarz ;Camping-Laterne 17 LED wasserdicht silber-schwarz 
190117;Taschenlampenhalter mit Ring, schwarz ;Taschenlampenhalter mit Ring, schwarz ;Taschenlampenhalter mit Ring, schwarz 
190118;Wiederaufladbare Batterie, Mono, 1,2 V, 2-er Pack ;Wiederaufladbare Batterie, Mono, 1,2 V, 2-er Pack ;Wiederaufladbare Batterie, Mono, 1,2 V, 2-er Pack 
190119;Sturmlaterne, Zink, Höhe 30 cm ;Sturmlaterne, Zink, Höhe 30 cm ;Sturmlaterne, Zink, Höhe 30 cm 
190120;Docht für Sturmlaterne, (für Art.-Nr. 26803) ;Docht für Sturmlaterne, (für Art.-Nr. 26803) ;Docht für Sturmlaterne, (für Art.-Nr. 26803) 
190121;Fackeln, 3er-Pack, 40 cm lang ;Fackeln, 3er-Pack, 40 cm lang ;Fackeln, 3er-Pack, 40 cm lang 
190122;Wachsfackel 3 Stk. 55 cm ;Wachsfackel 3 Stk. 55 cm ;Wachsfackel 3 Stk. 55 cm 
190123;Lawinenschaufel Deluxe ;Lawinenschaufel Deluxe ;Lawinenschaufel Deluxe 
190124;Lawinenschaufel, 3 teilig, ausziehbar, orange ;Lawinenschaufel, 3 teilig, ausziehbar, orange ;Lawinenschaufel, 3 teilig, ausziehbar, orange 
190125;Klappspaten, Plastikgriff, 3-teilig, schwarz, mit Tasche ;Klappspaten, Plastikgriff, 3-teilig, schwarz, mit Tasche ;Klappspaten, Plastikgriff, 3-teilig, schwarz, mit Tasche 
190126;Bundeswehr BW Klappspaten 3-tlg. inkl. Original gebr. Tasche ;Bundeswehr BW Klappspaten 3-tlg. inkl. Original gebr. Tasche ;Bundeswehr BW Klappspaten 3-tlg. inkl. Original gebr. Tasche 
190127;Bundeswehr BW Klappspaten 3-tlg. Mini mit oliv Nylontasche ;Bundeswehr BW Klappspaten 3-tlg. Mini mit oliv Nylontasche ;Bundeswehr BW Klappspaten 3-tlg. Mini mit oliv Nylontasche 
190128;Mini - Klapp - Schaufel mit Tasche für Outdoor - Survival;Mini - Klapp - Schaufel mit Tasche für Outdoor - Survival;Mini - Klapp - Schaufel mit Tasche für Outdoor - Survival
190129;Outdoor- Multitool Spaten Beil Messer Säge, Survival-Set;Outdoor- Multitool Spaten Beil Messer Säge, Survival-Set;Outdoor- Multitool Spaten Beil Messer Säge, Survival-Set
190130;US Army Klappspaten, 3-teilig, extra stabil, Kunstst.-Tasche ;US Army Klappspaten, 3-teilig, extra stabil, Kunstst.-Tasche ;US Army Klappspaten, 3-teilig, extra stabil, Kunstst.-Tasche 
190131;Bolo Machete, mit Canvas-;Bolo Machete, mit Canvas-;Bolo Machete, mit Canvas-
190133;Klappsäge, Deluxe, schwarz, Blattlänge: ca. 19 cm ;Klappsäge, Deluxe, schwarz, Blattlänge: ca. 19 cm ;Klappsäge, Deluxe, schwarz, Blattlänge: ca. 19 cm 
190134;Draht-Säge mit Ringen;Draht-Säge mit Ringen;Draht-Säge mit Ringen
190135;Drahtsäge MitRingen ;Drahtsäge MitRingen ;Drahtsäge MitRingen 
190136;Ketten-Hand-Säge, mit Griffen, L. 73 cm, 65 Zähne ;Ketten-Hand-Säge, mit Griffen, L. 73 cm, 65 Zähne ;Ketten-Hand-Säge, mit Griffen, L. 73 cm, 65 Zähne 
190137;Flaschenöffner aus Aluminium;Flaschenöffner aus Aluminium;Flaschenöffner aus Aluminium
190138;"Feuerstarter, ""Army""";"Feuerstarter, ""Army""";"Feuerstarter, ""Army"""
190139;Feuerstarter, Army;Feuerstarter, Army;Feuerstarter, Army
190140;Max Fuchs Feuerstarter-Set ;Max Fuchs Feuerstarter-Set ;Max Fuchs Feuerstarter-Set 
190141;Automatik FEUERSTARTER Firestarter Feuer Anzünder;Automatik FEUERSTARTER Firestarter Feuer Anzünder;Automatik FEUERSTARTER Firestarter Feuer Anzünder
190142;Schwedischer Army Feuerstarter;Schwedischer Army Feuerstarter;Schwedischer Army Feuerstarter
190143;Notfallset 5 in 1 wasserdicht Box mit Umhängeband;Notfallset 5 in 1 wasserdicht Box mit Umhängeband;Notfallset 5 in 1 wasserdicht Box mit Umhängeband
190144;Combat Überlebensset in wasserdichter Box ;Combat Überlebensset in wasserdichter Box ;Combat Überlebensset in wasserdichter Box 
190145;berlebensset, klein, wasserdichte Box ;berlebensset, klein, wasserdichte Box ;berlebensset, klein, wasserdichte Box 
190146;Wasserdichte Streichholz Box mit Inhalt ;Wasserdichte Streichholz Box mit Inhalt ;Wasserdichte Streichholz Box mit Inhalt 
190147;Wasseraufbereiter, Mini, oliv;Wasseraufbereiter, Mini, oliv;Wasseraufbereiter, Mini, oliv
190148;Rettungsdecke silber- und goldfarben beschichtet;Rettungsdecke silber- und goldfarben beschichtet;Rettungsdecke silber- und goldfarben beschichtet
190149;Notfall-Rettungsdecke, Alu- beschichtet, Gr. 213 x 132 cm ;Notfall-Rettungsdecke, Alu- beschichtet, Gr. 213 x 132 cm ;Notfall-Rettungsdecke, Alu- beschichtet, Gr. 213 x 132 cm 
190150;Wasserdichte Aluminiumbox, silber ;Wasserdichte Aluminiumbox, silber ;Wasserdichte Aluminiumbox, silber 
190151;Box Metall, wasserdicht, schwarz, groß;Box Metall, wasserdicht, schwarz, groß;Box Metall, wasserdicht, schwarz, groß
190152;Box Kunststoff wasserdicht 39x29x12 cm schwarz ;Box Kunststoff wasserdicht 39x29x12 cm schwarz ;Box Kunststoff wasserdicht 39x29x12 cm schwarz 
190153;Wasserdichte Kunststoffbox 16,5 x 12 x 7,5 cm ;Wasserdichte Kunststoffbox 16,5 x 12 x 7,5 cm ;Wasserdichte Kunststoffbox 16,5 x 12 x 7,5 cm 
190154;Box Kunststoff wasserdicht 135x8x37 cm schwarz ;Box Kunststoff wasserdicht 135x8x37 cm schwarz ;Box Kunststoff wasserdicht 135x8x37 cm schwarz 
190155;FOX Outdoor Werkzeugset 27173 ;FOX Outdoor Werkzeugset 27173 ;FOX Outdoor Werkzeugset 27173 
190166;Pfeffer-Spray, Sprühflasche,;Pfeffer-Spray, Sprühflasche,;Pfeffer-Spray, Sprühflasche,
190170;Tarnstift England, zweifarbig, (grün-braun) ;Tarnstift England, zweifarbig, (grün-braun) ;Tarnstift England, zweifarbig, (grün-braun) 
190171;Tarnschminkset 3 Farben, mit Spiegel ;Tarnschminkset 3 Farben, mit Spiegel ;Tarnschminkset 3 Farben, mit Spiegel 
190172;Tarnschmink-Set, 3 Farben, ;Tarnschmink-Set, 3 Farben, ;Tarnschmink-Set, 3 Farben, 
190174;US Army Erkennungsmarke, Edelstahl, mit Kette ;US Army Erkennungsmarke, Edelstahl, mit Kette ;US Army Erkennungsmarke, Edelstahl, mit Kette 
190175;Bundeswehr BW Erkennungsmarke mit Ketten, oval ;Bundeswehr BW Erkennungsmarke mit Ketten, oval ;Bundeswehr BW Erkennungsmarke mit Ketten, oval 
190176;US Army Silencer, für Erkennungsmarken, Gummi ;US Army Silencer, für Erkennungsmarken, Gummi ;US Army Silencer, für Erkennungsmarken, Gummi 
190177;US Army Erkennungsmarke, m. Ketten, schwarz ;US Army Erkennungsmarke, m. Ketten, schwarz ;US Army Erkennungsmarke, m. Ketten, schwarz 
190178;US Army Erkennungsmarke, m. Ketten, goldfarben ;US Army Erkennungsmarke, m. Ketten, goldfarben ;US Army Erkennungsmarke, m. Ketten, goldfarben 
190179;Hosengummi mit Metallhaken, oliv;Hosengummi mit Metallhaken, oliv;Hosengummi mit Metallhaken, oliv
190181;Karabiner;Karabiner;Karabiner
190182;Crab;Crab;Crab
190183;Pfeife, Alu, groß;Pfeife, Alu, groß;Pfeife, Alu, groß
190184;Pfeife, Metall, rund, Halsband ;Pfeife, Metall, rund, Halsband ;Pfeife, Metall, rund, Halsband 
190185;MFH Gesichtsmaske Neopren Aus Spezialschaum, schwarz, Einheitsgröße;MFH Gesichtsmaske Neopren Aus Spezialschaum, schwarz, Einheitsgröße;MFH Gesichtsmaske Neopren Aus Spezialschaum, schwarz, Einheitsgröße
190186;Thermo-Kälteschutzmaske, schwarz, winddicht, extrem leicht;Thermo-Kälteschutzmaske, schwarz, winddicht, extrem leicht;Thermo-Kälteschutzmaske, schwarz, winddicht, extrem leicht
190187;Beil aus Guss-Stahl, mit Gummigriff, ca. 29 cm;Beil aus Guss-Stahl, mit Gummigriff, ca. 29 cm;Beil aus Guss-Stahl, mit Gummigriff, ca. 29 cm
190188;Camping-Beil, mit Gummigriff, ca. 33 cm ;Camping-Beil, mit Gummigriff, ca. 33 cm ;Camping-Beil, mit Gummigriff, ca. 33 cm 
190189;Deluxe Fiberglass Axt, ca. 36 cm ;Deluxe Fiberglass Axt, ca. 36 cm ;Deluxe Fiberglass Axt, ca. 36 cm 
